SNO,F162M,ERR162M,F182M,ERR182M,F200W,ERR200W,F356W,ERR356W,F405N,ERR405N
1,18.0957,0.042,17.8409,0.025,17.6518,0.016,16.3455,0.014,9.834,0.014
2,23.4467,0.022,22.4409,0.034,21.9598,0.017,20.1415,0.041,13.552,0.016
3,17.7037,0.025,17.4619,0.029,17.4048,0.016,17.0675,0.016,10.811,0.014
4,16.1547,0.065,16.1409,0.06,16.1218,0.08,0,0,9.678,0.013
5,16.6887,0.05,16.5989,0.049,16.2548,0.026,15.8125,0.034,9.426,0.016
6,24.1517,0.033,23.7809,0.039,0,0,22.1455,0.035,15.796,0.015
7,17.7007,0.026,17.4209,0.027,17.2758,0.018,16.0555,0.077,9.797,0.017
8,19.4097,0.034,19.0389,0.025,18.7708,0.028,18.0965,0.012,11.888,0.011
9,20.7147,0.023,20.1869,0.038,19.9608,0.027,18.9855,0.031,12.766,0.375
10,19.4917,0.023,19.2589,0.039,19.1038,0.014,18.5365,0.017,12.19,0.01
