index,file_lineno,best_mass,best_AV,mass_min,mass_max,AV_min,AV_max,intersects,min_chi2,chi2_threshold,dof_gof,passes_gof,p_value,true_AV,true_mass
0,2,0.05,8.273206199553448,0.04454545454545455,0.06636363636363636,6.97320619955345,11.273206199553435,True,7.578474196423542,13.56993874353152,1,False,0.005906941902388865,10.5382,0.056206
1,3,0.16272727272727272,9.111803300453404,0.14636363636363636,0.1890909090909091,7.5118033004534075,10.611803300453397,True,9.945961007583033,15.937425554691012,1,False,0.0016120269398747413,9.3431,0.171107
2,4,0.02,3.4000000000000004,0.017727272727272727,0.022727272727272728,2.1,4.6000000000000005,True,12.276296704409518,18.267761251517502,1,False,0.00045874779408151465,4.31918,0.020454
3,5,0.10727272727272727,8.198669196533622,0.09727272727272727,0.12090909090909092,6.998669196533626,9.798669196533616,False,2.090372941357193,8.081837488465172,1,True,0.1482298809982385,6.74386,0.085403
4,6,0.13727272727272727,6.113133506030668,0.11545454545454545,0.1590909090909091,3.9131335060306647,8.113133506030668,True,5.462895003852724,11.454359550960705,1,False,0.01942443852449292,6.40226,0.147953
5,7,0.2272727272727273,16.203231391783234,0.1863636363636364,0.2727272727272727,15.00323139178324,17.603231391783236,True,0.35327715862667325,6.344741705734652,1,True,0.5522638468569739,17.3093,0.20703
6,8,0.3272727272727273,22.441115342924604,0.2909090909090909,0.3636363636363637,21.54111534292459,23.241115342924616,False,2.2085973059323867,8.200061853040367,1,True,0.13724341017482672,25.4049,0.353775
8,10,0.06545454545454546,14.72291356624998,0.056363636363636366,0.07363636363636364,13.022913566249983,16.222913566249975,False,1.016416347928774,7.007880895036753,1,True,0.3133705722961857,14.277,0.053173
9,11,0.7,9.260827426923663,0.5545454545454546,0.8454545454545455,7.260827426923669,10.66082742692367,False,10.159856913591103,16.151321460699087,1,False,0.0014353176061386425,5.86181,0.398091
11,13,0.34545454545454546,6.472407633818543,0.3090909090909091,0.3818181818181817,5.572407633818541,7.272407633818543,True,0.1250821315053204,6.116546678613299,1,True,0.723586565358977,6.47402,0.321926
12,14,0.08727272727272728,20.23741206218392,0.07227272727272728,0.10818181818181817,17.937412062183885,22.637412062183948,False,0.5788879329616563,6.570352480069635,1,True,0.44674854610942905,20.0599,0.070333
13,15,0.017727272727272727,15.969285480560462,0.014545454545454544,0.02090909090909091,13.969285480560467,17.669285480560454,False,3.352385375328587,9.343849922436563,1,True,0.0671077017529375,18.585,0.01878
14,16,0.16272727272727272,8.122346130938283,0.14454545454545453,0.1972727272727273,6.522346130938287,9.622346130938276,True,4.177746493642488,10.169211040750467,1,False,0.04095812699801222,7.98796,0.168693
15,17,0.19454545454545452,10.15711334738815,0.16818181818181818,0.2181818181818182,9.157113347388153,10.857113347388143,True,9.147700040900613,15.139164588008592,1,False,0.002490308898340943,10.0988,0.185198
16,18,0.3363636363636364,8.709853173742474,0.2909090909090909,0.3727272727272728,7.509853173742477,9.609853173742467,False,2.876749017694016,8.868213564801994,1,True,0.08986728930872043,10.2079,0.366108
17,19,0.2818181818181818,16.92629672669711,0.2545454545454545,0.3181818181818182,16.226296726697107,17.826296726697105,False,0.05141319505181827,6.042877742159797,1,True,0.8206222047939299,18.1528,0.259832
18,20,0.08818181818181818,12.688221759161179,0.07727272727272727,0.10272727272727274,11.188221759161184,14.188221759161172,False,26.850356887510014,32.841821434617984,1,False,2.1983375063383555e-07,14.8723,0.097278
20,22,1.3727272727272726,20.545240448064185,1.1909090909090907,1.4,19.44524044806419,20.745240448064184,False,1.7192839993701683,7.710748546478148,1,True,0.18978523604914727,22.9691,1.31329
21,23,0.4090909090909091,7.978902316761799,0.3636363636363637,0.4636363636363636,6.978902316761799,8.9789023167618,True,0.2805899317154309,6.27205447882341,1,True,0.5963148150935296,8.50713,0.394837
22,24,0.013181818181818182,5.642892451466779,0.011818181818181818,0.014545454545454544,4.542892451466781,6.842892451466782,False,7.029383242490045,13.020847789598026,1,False,0.00801829637265388,7.83498,0.01503
23,25,1.3909090909090909,18.726446432627828,1.1272727272727274,1.4,17.126446432627834,18.926446432627827,False,1.7139836524724248,7.705448199580403,1,True,0.19046932666454885,20.2002,1.20782
24,26,0.34545454545454546,10.546402041344027,0.3090909090909091,0.4,9.546402041344033,11.746402041344025,True,0.5000857066984422,6.4915502538064205,1,True,0.4794624658307201,11.0896,0.322605
25,27,0.4636363636363636,7.411554851335327,0.3818181818181817,0.5909090909090908,5.711554851335328,9.41155485133533,True,4.066135347507085,10.057599894615064,1,False,0.04375126441024008,6.78875,0.394081
26,28,0.1781818181818182,15.898500418995972,0.16454545454545455,0.2,15.198500418995975,16.698500418995973,False,0.37098589156835177,6.362450438676331,1,True,0.5424673626422676,14.9163,0.158611
27,29,0.12818181818181815,10.59231387356795,0.1190909090909091,0.13545454545454547,9.592313873567953,11.292313873567949,False,1.1264357638799274,7.117900310987906,1,True,0.2885368757615598,8.9241,0.106116
28,30,0.01,10.699509820512937,0.01,0.010454545454545454,10.499509820512936,11.299509820512931,False,13.170475702666046,19.161940249774027,1,False,0.0002843945321660495,11.7408,0.010147
29,31,0.3363636363636364,20.60695615942355,0.3,0.3818181818181817,19.706956159423534,21.706956159423566,False,0.16697519446984713,6.158439741577827,1,True,0.682814159228871,22.939,0.342464
30,32,0.3545454545454545,5.788098841522646,0.2636363636363636,0.4909090909090909,3.5880988415226462,8.388098841522645,True,0.4769763353345473,6.468440882442527,1,True,0.4897951140605367,4.9614,0.293764
32,34,0.02,14.685031003006143,0.01636363636363636,0.024545454545454544,12.685031003006149,16.685031003006134,True,2.9333237930221365,8.924788340130117,1,True,0.08676868536223949,16.5894,0.019871
33,35,0.8363636363636364,7.7,0.4363636363636364,0.9,2.3000000000000003,7.7,False,2.6919013268382828,8.683365873946261,1,True,0.10085939880924644,2.62726,0.39264
34,36,0.017272727272727273,9.37472095101748,0.012272727272727272,0.025454545454545452,5.774720951017492,13.174720951017466,True,0.366970983421318,6.358435530529298,1,True,0.5446599889039989,10.8478,0.017711
35,37,0.010454545454545454,5.6709332214282275,0.01,0.011818181818181818,5.170933221428228,6.770933221428231,False,8.623245342780542,14.61470988988852,1,False,0.0033189999136625232,7.44862,0.01187
36,38,0.11727272727272728,12.24027684315136,0.1090909090909091,0.12636363636363634,11.240276843151364,13.340276843151354,True,13.18072740562609,19.172191952734067,1,False,0.00028284294605258984,12.2681,0.109643
37,39,0.16272727272727272,21.572920644152173,0.15363636363636365,0.1809090909090909,20.57292064415216,22.672920644152192,False,3.3588606818073488,9.350325228915327,1,True,0.06684429925921781,22.8605,0.167637
40,42,0.02181818181818182,9.648463276434931,0.01818181818181818,0.026363636363636363,7.8484632764349405,11.648463276434924,False,17.125736142140113,23.11720068924809,1,False,3.4985013742277605e-05,11.7529,0.023358
41,43,0.08363636363636362,6.839280115746187,0.07281818181818181,0.11,5.539280115746193,9.939280115746175,True,5.589929758099054,11.581394305207036,1,False,0.018064020531483413,8.43351,0.089676
42,44,0.12272727272727273,4.525057042568982,0.11363636363636365,0.13363636363636364,3.4250570425689815,5.625057042568983,False,9.990402645363453,15.98186719247143,1,False,0.0015735819313068633,3.3925,0.114438
43,45,0.12090909090909092,6.179689928442958,0.10454545454545457,0.14272727272727273,4.379689928442964,8.47968992844295,True,9.224909441729157,15.216373988837136,1,False,0.0023874450204895803,7.35146,0.135785
44,46,0.013636363636363636,6.691037611541303,0.012272727272727272,0.015,5.391037611541307,7.8910376115412975,False,20.011222128886022,26.002686675994,1,False,7.69890092938093e-06,10.478,0.018535
45,47,0.10818181818181817,15.472155653625949,0.09909090909090908,0.12272727272727273,14.372155653625956,17.172155653625946,False,2.425772550263533,8.417237097371512,1,True,0.1193543871707085,15.0886,0.087852
