time_myr,space,bin,bin_spread,bin_count
1.0,H-R,1,,4
1.0,H-R,2,,3
1.0,H-R,3,0.05692277784406652,8
1.0,H-R,4,,5
1.0,H-R,5,,3
1.0,H-R,6,,3
1.0,F070W-F200W,1,,3
1.0,F070W-F200W,2,,3
1.0,F070W-F200W,3,,2
1.0,F070W-F200W,4,0.2544999999999984,10
1.0,F070W-F200W,5,,6
1.0,F070W-F200W,6,,2
1.0,F182M-F200W,1,,6
1.0,F182M-F200W,2,,3
1.0,F182M-F200W,3,0.27250000000000085,10
1.0,F182M-F200W,4,,3
1.0,F182M-F200W,5,,2
1.0,F182M-F200W,6,,2
1.5,H-R,1,0.18512779803246737,28
1.5,H-R,2,0.13684610229148364,19
1.5,H-R,3,0.17670770044216255,20
1.5,H-R,4,0.15879769310250302,15
1.5,H-R,5,,7
1.5,H-R,6,0.1082674070450233,17
1.5,F070W-F200W,1,0.32174999999999976,18
1.5,F070W-F200W,2,,3
1.5,F070W-F200W,3,0.43350000000000044,17
1.5,F070W-F200W,4,0.4972857142857148,28
1.5,F070W-F200W,5,0.44583333333333286,24
1.5,F070W-F200W,6,0.43624999999999936,18
1.5,F182M-F200W,1,0.2881999999999998,21
1.5,F182M-F200W,2,0.26750000000000185,9
1.5,F182M-F200W,3,0.24799999999999933,15
1.5,F182M-F200W,4,0.24319999999999986,20
1.5,F182M-F200W,5,0.19333333333333336,13
1.5,F182M-F200W,6,0.2558000000000007,21
2.0,H-R,1,0.21464266499807894,52
2.0,H-R,2,0.22932019564091366,39
2.0,H-R,3,0.26576197510642063,25
2.0,H-R,4,0.23560161945136404,26
2.0,H-R,5,0.18818340341923934,17
2.0,H-R,6,0.1735722350721553,26
2.0,F070W-F200W,1,0.5361666666666682,25
2.0,F070W-F200W,2,0.8119999999999994,13
2.0,F070W-F200W,3,0.8033750000000008,34
2.0,F070W-F200W,4,0.7232222222222227,37
2.0,F070W-F200W,5,0.6935000000000002,40
2.0,F070W-F200W,6,0.575222222222223,38
2.0,F182M-F200W,1,0.42337500000000006,32
2.0,F182M-F200W,2,0.36299999999999955,21
2.0,F182M-F200W,3,0.42771428571428594,28
2.0,F182M-F200W,4,0.41875000000000284,19
2.0,F182M-F200W,5,0.4164999999999992,32
2.0,F182M-F200W,6,0.3937000000000026,42
2.5,H-R,1,0.2850687861733191,76
2.5,H-R,2,0.24395071403822832,56
2.5,H-R,3,0.2670520509600064,24
2.5,H-R,4,0.2815854280426917,36
2.5,H-R,5,0.21927348797605872,32
2.5,H-R,6,0.226369132957779,30
2.5,F070W-F200W,1,0.6828571428571415,29
2.5,F070W-F200W,2,0.8963333333333328,25
2.5,F070W-F200W,3,1.1539090909090888,46
2.5,F070W-F200W,4,0.9835833333333337,51
2.5,F070W-F200W,5,0.860076923076921,55
2.5,F070W-F200W,6,0.8236153846153833,53
2.5,F182M-F200W,1,0.4161428571428605,29
2.5,F182M-F200W,2,0.42691666666666883,50
2.5,F182M-F200W,3,0.5732857142857135,31
2.5,F182M-F200W,4,0.43520000000000003,21
2.5,F182M-F200W,5,0.5449999999999999,43
2.5,F182M-F200W,6,0.48466666666666747,61
3.0,H-R,1,0.36860543624623665,100
3.0,H-R,2,0.30914404131444084,70
3.0,H-R,3,0.3422943546207302,42
3.0,H-R,4,0.3576738009953522,47
3.0,H-R,5,0.282258425199839,43
3.0,H-R,6,0.3114290088281234,38
3.0,F070W-F200W,1,0.9120909090909084,44
3.0,F070W-F200W,2,1.0125454545454549,45
3.0,F070W-F200W,3,1.37823076923077,53
3.0,F070W-F200W,4,1.164833333333334,72
3.0,F070W-F200W,5,1.2074117647058795,69
3.0,F070W-F200W,6,0.9701250000000012,66
3.0,F182M-F200W,1,0.5629090909090912,45
3.0,F182M-F200W,2,0.4685714285714333,56
3.0,F182M-F200W,3,0.49327272727272664,44
3.0,F182M-F200W,4,0.5366666666666671,38
3.0,F182M-F200W,5,0.6743000000000006,42
3.0,F182M-F200W,6,0.58155,81
3.5,H-R,1,0.42892837383181737,120
3.5,H-R,2,0.3556498237030099,94
3.5,H-R,3,0.3745960424720579,61
3.5,H-R,4,0.36325963469109024,61
3.5,H-R,5,0.2782773403111367,61
3.5,H-R,6,0.32453853196072247,42
3.5,F070W-F200W,1,0.945999999999998,52
3.5,F070W-F200W,2,1.0798124999999992,66
3.5,F070W-F200W,3,1.359684210526316,76
3.5,F070W-F200W,4,1.3981739130434772,92
3.5,F070W-F200W,5,1.3375000000000004,88
3.5,F070W-F200W,6,1.1042608695652216,93
3.5,F182M-F200W,1,0.5566923076923072,53
3.5,F182M-F200W,2,0.5525333333333329,62
3.5,F182M-F200W,3,0.5502222222222208,73
3.5,F182M-F200W,4,0.5739999999999998,50
3.5,F182M-F200W,5,0.6973846153846139,54
3.5,F182M-F200W,6,0.6285600000000002,103
4.0,H-R,1,0.43570828841393183,144
4.0,H-R,2,0.3695523467245969,115
4.0,H-R,3,0.36789699473121873,74
4.0,H-R,4,0.31041243173674327,73
4.0,H-R,5,0.29193619962742035,71
4.0,H-R,6,0.3218394491325531,48
4.0,F070W-F200W,1,0.9688666666666652,60
4.0,F070W-F200W,2,1.0540999999999983,83
4.0,F070W-F200W,3,1.3683333333333323,97
4.0,F070W-F200W,4,1.3056153846153826,107
4.0,F070W-F200W,5,1.3038148148148139,108
4.0,F070W-F200W,6,1.185888888888888,109
4.0,F182M-F200W,1,0.5936428571428554,59
4.0,F182M-F200W,2,0.5132666666666701,61
4.0,F182M-F200W,3,0.5112608695652128,95
4.0,F182M-F200W,4,0.5615000000000006,56
4.0,F182M-F200W,5,0.6828666666666656,62
4.0,F182M-F200W,6,0.6707586206896536,117
4.5,H-R,1,0.4625685805904982,174
4.5,H-R,2,0.4019387909131453,132
4.5,H-R,3,0.41299851150964895,93
4.5,H-R,4,0.309595898057792,82
4.5,H-R,5,0.30586906891919163,82
4.5,H-R,6,0.32307119834108655,55
4.5,F070W-F200W,1,0.9569473684210514,78
4.5,F070W-F200W,2,1.0880833333333317,97
4.5,F070W-F200W,3,1.366239999999996,103
4.5,F070W-F200W,4,1.423999999999996,139
4.5,F070W-F200W,5,1.491799999999996,120
4.5,F070W-F200W,6,1.2726176470588246,137
4.5,F182M-F200W,1,0.5741875000000007,66
4.5,F182M-F200W,2,0.5052000000000003,63
4.5,F182M-F200W,3,0.4540740740740752,109
4.5,F182M-F200W,4,0.5730555555555554,73
4.5,F182M-F200W,5,0.7477777777777792,73
4.5,F182M-F200W,6,0.6597575757575758,132
5.0,H-R,1,0.5016713358524201,201
5.0,H-R,2,0.4410799981655338,156
5.0,H-R,3,0.3896199780401053,101
5.0,H-R,4,0.3372364831858615,92
5.0,H-R,5,0.37381471189245796,109
5.0,H-R,6,0.32451329934178286,52
5.0,F070W-F200W,1,1.007727272727271,88
5.0,F070W-F200W,2,1.338068965517241,118
5.0,F070W-F200W,3,1.3815000000000008,120
5.0,F070W-F200W,4,1.4621842105263152,154
5.0,F070W-F200W,5,1.7154411764705877,137
5.0,F070W-F200W,6,1.4209302325581366,174
5.0,F182M-F200W,1,0.6632105263157921,78
5.0,F182M-F200W,2,0.578000000000003,72
5.0,F182M-F200W,3,0.578888888888887,109
5.0,F182M-F200W,4,0.5278636363636355,91
5.0,F182M-F200W,5,0.7412173913043478,93
5.0,F182M-F200W,6,0.7469142857142863,141
5.5,H-R,1,0.5180013842854883,231
5.5,H-R,2,0.42073212196745113,169
5.5,H-R,3,0.46876073038177735,123
5.5,H-R,4,0.38262172484647283,106
5.5,H-R,5,0.32406730829162134,112
