time_myr,space,spread_metric,n_valid_bins,n_stars_in_band,n_interpolated_stars
1.0,H-R,0.05692277784406652,1,26,103
1.0,F070W-F200W,0.2544999999999984,1,26,103
1.0,F182M-F200W,0.27250000000000085,1,26,103
1.5,H-R,0.15314934018272797,5,106,327
1.5,F070W-F200W,0.4269238095238094,5,108,327
1.5,F182M-F200W,0.24933888888888914,6,99,327
2.0,H-R,0.21784701561469533,6,185,538
2.0,F070W-F200W,0.690581018518519,6,187,538
2.0,F182M-F200W,0.407173214285715,6,174,538
2.5,H-R,0.2538832666913472,6,254,753
2.5,F070W-F200W,0.9000625346875335,6,259,753
2.5,F182M-F200W,0.48020198412698506,6,235,753
3.0,H-R,0.32856751120078703,6,340,998
3.0,F070W-F200W,1.1075395384843914,6,349,998
3.0,F182M-F200W,0.5528783189033198,6,306,998
3.5,H-R,0.3542082911616391,6,439,1244
3.5,F070W-F200W,1.2042385821891688,6,467,1244
3.5,F182M-F200W,0.5932320797720791,6,395,1244
4.0,H-R,0.3495576183944107,6,525,1440
4.0,F070W-F200W,1.19776984805318,6,564,1440
4.0,F182M-F200W,0.5888826134551763,6,450,1440
4.5,H-R,0.3693403413885605,6,618,1677
4.5,F070W-F200W,1.2666147248021993,6,674,1677
4.5,F182M-F200W,0.5856754138608311,6,516,1677
5.0,H-R,0.3946559677463603,6,711,1911
5.0,F070W-F200W,1.3876419762999255,6,791,1911
5.0,F182M-F200W,0.6393491214311586,6,584,1911
5.5,H-R,0.4060481951518888,6,795,2093
5.5,F070W-F200W,1.4246309120697065,6,889,2093
5.5,F182M-F200W,0.6274957752286694,6,640,2093
6.0,H-R,0.4006204082476111,6,878,2309
6.0,F070W-F200W,1.4655928778494476,6,990,2309
6.0,F182M-F200W,0.6633761686633788,6,702,2309
6.5,H-R,0.42300833238930985,6,986,2521
6.5,F070W-F200W,1.5146695851241114,6,1106,2521
6.5,F182M-F200W,0.6913451989255289,6,787,2521
7.0,H-R,0.4385199776452844,6,1079,2703
7.0,F070W-F200W,1.540771576534624,6,1215,2703
7.0,F182M-F200W,0.6982846439454168,6,849,2703
7.5,H-R,0.4230688085196154,6,1159,2874
7.5,F070W-F200W,1.497545154876856,6,1309,2874
7.5,F182M-F200W,0.699945211250213,6,894,2874
8.0,H-R,0.3694784902434361,6,1192,2876
8.0,F070W-F200W,1.3412116148062052,6,1343,2876
8.0,F182M-F200W,0.6084643676183923,6,890,2876
8.5,H-R,0.32896425704772203,6,1220,2879
8.5,F070W-F200W,1.2237553761994437,6,1385,2879
8.5,F182M-F200W,0.5640526984126977,6,902,2879
9.0,H-R,0.30356738219085394,6,1245,2878
9.0,F070W-F200W,1.1023389776004617,6,1414,2878
9.0,F182M-F200W,0.5350144986516646,6,910,2878
9.5,H-R,0.2826816092198994,6,1266,2880
9.5,F070W-F200W,1.014873225077869,6,1436,2880
9.5,F182M-F200W,0.5120354170053014,6,915,2880
10.0,H-R,0.26458615628584997,6,1290,2881
10.0,F070W-F200W,0.9306341157776625,6,1455,2881
10.0,F182M-F200W,0.4845710315827976,6,931,2881
10.5,H-R,0.24639860804531266,6,1310,2884
10.5,F070W-F200W,0.8569710518867991,6,1467,2884
10.5,F182M-F200W,0.4483517512676964,6,938,2884
11.0,H-R,0.23248331911990164,6,1319,2887
11.0,F070W-F200W,0.7923141393776474,6,1475,2887
11.0,F182M-F200W,0.41804234544694996,6,952,2887
11.5,H-R,0.22233131248366034,6,1330,2888
11.5,F070W-F200W,0.7437447195666994,6,1479,2888
11.5,F182M-F200W,0.39671348895357433,6,956,2888
12.0,H-R,0.21426222428823005,6,1339,2892
12.0,F070W-F200W,0.7042522133076584,6,1479,2892
12.0,F182M-F200W,0.39009679332965214,6,957,2892
12.5,H-R,0.2073430708716197,6,1346,2893
12.5,F070W-F200W,0.6619091024753629,6,1480,2893
12.5,F182M-F200W,0.3833772805151838,6,968,2893
13.0,H-R,0.19838259541163802,6,1348,2893
13.0,F070W-F200W,0.6150383593539651,6,1475,2893
13.0,F182M-F200W,0.3757223874852116,6,972,2893
13.5,H-R,0.19430685563781638,6,1355,2896
13.5,F070W-F200W,0.5870352843561385,6,1463,2896
13.5,F182M-F200W,0.3695736793372326,6,975,2896
14.0,H-R,0.1913917835921187,6,1362,2895
14.0,F070W-F200W,0.5724460597390314,6,1455,2895
14.0,F182M-F200W,0.3722405921921886,6,977,2895
14.5,H-R,0.18542356950044292,6,1365,2894
14.5,F070W-F200W,0.5504491634397661,6,1446,2894
14.5,F182M-F200W,0.35828231931653437,6,975,2894
15.0,H-R,0.180932381936772,6,1367,2896
15.0,F070W-F200W,0.5332249228395062,6,1439,2896
15.0,F182M-F200W,0.35599130173878546,6,983,2896
15.5,H-R,0.1780125267384757,6,1368,2895
15.5,F070W-F200W,0.5126794232474076,6,1433,2895
15.5,F182M-F200W,0.3470914747556278,6,985,2895
16.0,H-R,0.1726652997875391,6,1367,2898
16.0,F070W-F200W,0.49810473524242277,6,1421,2898
16.0,F182M-F200W,0.33741166623789454,6,986,2898
16.5,H-R,0.16986949312222213,6,1371,2898
16.5,F070W-F200W,0.49031519329612294,6,1415,2898
16.5,F182M-F200W,0.33463489103457417,6,993,2898
17.0,H-R,0.16752136551464303,6,1373,2900
17.0,F070W-F200W,0.47643959235752514,6,1406,2900
17.0,F182M-F200W,0.3315888246840653,6,989,2900
17.5,H-R,0.16241259677918887,6,1375,2901
17.5,F070W-F200W,0.4680194130291004,6,1396,2901
17.5,F182M-F200W,0.3256783304562066,6,991,2901
18.0,H-R,0.16169132373916886,6,1376,2902
18.0,F070W-F200W,0.49830178801342456,6,1390,2902
18.0,F182M-F200W,0.32435332845708764,6,995,2902
18.5,H-R,0.1608681893619014,6,1376,2898
18.5,F070W-F200W,0.445005295186359,6,1377,2898
18.5,F182M-F200W,0.32092809561481034,6,990,2898
19.0,H-R,0.15861494542723079,6,1377,2898
19.0,F070W-F200W,0.43398705678460087,6,1369,2898
19.0,F182M-F200W,0.31867529664856037,6,990,2898
19.5,H-R,0.15656769425450556,6,1376,2897
19.5,F070W-F200W,0.4173745162111526,6,1358,2897
19.5,F182M-F200W,0.31685246494736735,6,986,2897
20.0,H-R,0.15296125941730707,6,1322,2791
20.0,F070W-F200W,0.40016088572788683,6,1293,2791
20.0,F182M-F200W,0.31622171329925486,6,944,2791
