density,epsilon_ff,seed,time_myr,snapshot_available,n_interpolated_stars
0.1,0.01,00,1.0,True,271
0.1,0.01,00,1.5,True,386
0.1,0.01,00,2.0,True,461
0.1,0.01,00,2.5,True,565
0.1,0.01,00,3.0,True,677
0.1,0.01,00,3.5,True,732
0.1,0.01,00,4.0,True,807
0.1,0.01,00,4.5,True,860
0.1,0.01,00,5.0,True,922
0.1,0.01,00,5.5,True,970
0.1,0.01,00,6.0,True,1041
0.1,0.01,00,6.5,True,1131
0.1,0.01,00,7.0,True,1219
0.1,0.01,00,7.5,True,1309
0.1,0.01,00,8.0,True,1415
0.1,0.01,00,8.5,True,1523
0.1,0.01,00,9.0,True,1626
0.1,0.01,00,9.5,True,1712
0.1,0.01,00,10.0,True,1768
0.1,0.01,00,10.5,True,1842
0.1,0.01,00,11.0,True,1926
0.1,0.01,00,11.5,True,2009
0.1,0.01,00,12.0,True,2079
0.1,0.01,00,12.5,True,2166
0.1,0.01,00,13.0,True,2244
0.1,0.01,00,13.5,True,2300
0.1,0.01,00,14.0,True,2382
0.1,0.01,00,14.5,True,2466
0.1,0.01,00,15.0,True,2520
0.1,0.01,00,15.5,True,2632
0.1,0.01,00,16.0,True,2713
0.1,0.01,00,16.5,True,2801
0.1,0.01,00,17.0,True,2910
0.1,0.01,00,17.5,True,2970
0.1,0.01,00,18.0,True,2974
0.1,0.01,00,18.5,True,2974
0.1,0.01,00,19.0,True,2979
0.1,0.01,00,19.5,True,2977
0.1,0.01,00,20.0,True,2868
0.1,0.03,00,1.0,True,534
0.1,0.03,00,1.5,True,747
0.1,0.03,00,2.0,True,989
0.1,0.03,00,2.5,True,1238
0.1,0.03,00,3.0,True,1428
0.1,0.03,00,3.5,True,1656
0.1,0.03,00,4.0,True,1924
0.1,0.03,00,4.5,True,2103
0.1,0.03,00,5.0,True,2303
0.1,0.03,00,5.5,True,2509
0.1,0.03,00,6.0,True,2693
0.1,0.03,00,6.5,True,2866
0.1,0.03,00,7.0,True,2868
0.1,0.03,00,7.5,True,2874
0.1,0.03,00,8.0,True,2876
0.1,0.03,00,8.5,True,2879
0.1,0.03,00,9.0,True,2878
0.1,0.03,00,9.5,True,2880
0.1,0.03,00,10.0,True,2881
0.1,0.03,00,10.5,True,2884
0.1,0.03,00,11.0,True,2887
0.1,0.03,00,11.5,True,2888
0.1,0.03,00,12.0,True,2892
0.1,0.03,00,12.5,True,2893
0.1,0.03,00,13.0,True,2893
0.1,0.03,00,13.5,True,2896
0.1,0.03,00,14.0,True,2895
0.1,0.03,00,14.5,True,2894
0.1,0.03,00,15.0,True,2896
0.1,0.03,00,15.5,True,2895
0.1,0.03,00,16.0,True,2898
0.1,0.03,00,16.5,True,2898
0.1,0.03,00,17.0,True,2900
0.1,0.03,00,17.5,True,2901
0.1,0.03,00,18.0,True,2902
0.1,0.03,00,18.5,True,2898
0.1,0.03,00,19.0,True,2898
0.1,0.03,00,19.5,True,2897
0.1,0.03,00,20.0,True,2791
0.1,0.1,00,1.0,True,1267
0.1,0.1,00,1.5,True,1820
0.1,0.1,00,2.0,True,2363
0.1,0.1,00,2.5,True,2547
0.1,0.1,00,3.0,True,2553
0.1,0.1,00,3.5,True,2554
0.1,0.1,00,4.0,True,2552
0.1,0.1,00,4.5,True,2553
0.1,0.1,00,5.0,True,2557
0.1,0.1,00,5.5,True,2559
0.1,0.1,00,6.0,True,2562
0.1,0.1,00,6.5,True,2562
0.1,0.1,00,7.0,True,2563
0.1,0.1,00,7.5,True,2566
0.1,0.1,00,8.0,True,2567
0.1,0.1,00,8.5,True,2567
0.1,0.1,00,9.0,True,2568
0.1,0.1,00,9.5,True,2569
0.1,0.1,00,10.0,True,2569
0.1,0.1,00,10.5,True,2569
0.1,0.1,00,11.0,True,2569
0.1,0.1,00,11.5,True,2568
0.1,0.1,00,12.0,True,2567
0.1,0.1,00,12.5,True,2569
0.1,0.1,00,13.0,True,2569
0.1,0.1,00,13.5,True,2569
0.1,0.1,00,14.0,True,2570
0.1,0.1,00,14.5,True,2569
0.1,0.1,00,15.0,True,2569
0.1,0.1,00,15.5,True,2570
0.1,0.1,00,16.0,True,2571
0.1,0.1,00,16.5,True,2571
0.1,0.1,00,17.0,True,2570
0.1,0.1,00,17.5,True,2570
0.1,0.1,00,18.0,True,2572
0.1,0.1,00,18.5,True,2570
0.1,0.1,00,19.0,True,2569
0.1,0.1,00,19.5,True,2568
0.1,0.1,00,20.0,True,2453
0.1,0.3,00,1.0,True,2480
0.1,0.3,00,1.5,True,2494
0.1,0.3,00,2.0,True,2497
0.1,0.3,00,2.5,True,2500
0.1,0.3,00,3.0,True,2500
0.1,0.3,00,3.5,True,2503
0.1,0.3,00,4.0,True,2506
0.1,0.3,00,4.5,True,2508
0.1,0.3,00,5.0,True,2509
0.1,0.3,00,5.5,True,2513
0.1,0.3,00,6.0,True,2513
0.1,0.3,00,6.5,True,2513
0.1,0.3,00,7.0,True,2515
0.1,0.3,00,7.5,True,2513
0.1,0.3,00,8.0,True,2513
0.1,0.3,00,8.5,True,2511
0.1,0.3,00,9.0,True,2513
0.1,0.3,00,9.5,True,2513
0.1,0.3,00,10.0,True,2512
0.1,0.3,00,10.5,True,2512
