density,epsilon_ff,seed,time_myr,space,bin,bin_spread,bin_count
0.1,0.01,00,1.0,H-R,1,0.14343742599076148,20
0.1,0.01,00,1.0,H-R,2,0.10041389316007909,18
0.1,0.01,00,1.0,H-R,3,0.05122062981534492,15
0.1,0.01,00,1.0,H-R,4,0.07009684604238475,13
0.1,0.01,00,1.0,H-R,5,0.06227038631640808,18
0.1,0.01,00,1.0,H-R,6,0.04737561467211121,8
0.1,0.01,00,1.0,F070W-F200W,1,0.11149999999999949,8
0.1,0.01,00,1.0,F070W-F200W,2,0.09999999999999964,8
0.1,0.01,00,1.0,F070W-F200W,3,0.17325000000000124,19
0.1,0.01,00,1.0,F070W-F200W,4,0.23274999999999935,18
0.1,0.01,00,1.0,F070W-F200W,5,0.35219999999999985,23
0.1,0.01,00,1.0,F070W-F200W,6,0.3177499999999984,16
0.1,0.01,00,1.5,H-R,1,0.22901818726984569,36
0.1,0.01,00,1.5,H-R,2,0.21647816887915405,22
0.1,0.01,00,1.5,H-R,3,0.21068335670336624,25
0.1,0.01,00,1.5,H-R,4,0.2218749058986319,15
0.1,0.01,00,1.5,H-R,5,0.16122324956965356,24
0.1,0.01,00,1.5,H-R,6,0.14445583977748133,9
0.1,0.01,00,1.5,F070W-F200W,1,0.4710000000000001,10
0.1,0.01,00,1.5,F070W-F200W,2,0.5726666666666684,14
0.1,0.01,00,1.5,F070W-F200W,3,0.6451666666666664,25
0.1,0.01,00,1.5,F070W-F200W,4,0.729000000000001,29
0.1,0.01,00,1.5,F070W-F200W,5,0.681714285714289,28
0.1,0.01,00,1.5,F070W-F200W,6,0.6010000000000026,29
0.1,0.01,00,2.0,H-R,1,0.30757758249916,48
0.1,0.01,00,2.0,H-R,2,0.2780044180653567,27
0.1,0.01,00,2.0,H-R,3,0.30816494382000825,29
0.1,0.01,00,2.0,H-R,4,0.30223098156983397,17
0.1,0.01,00,2.0,H-R,5,0.24223707287661245,26
0.1,0.01,00,2.0,H-R,6,0.2428623872082023,10
0.1,0.01,00,2.0,F070W-F200W,1,0.7906666666666666,14
0.1,0.01,00,2.0,F070W-F200W,2,0.8550000000000004,18
0.1,0.01,00,2.0,F070W-F200W,3,1.0773999999999972,22
0.1,0.01,00,2.0,F070W-F200W,4,1.0608888888888899,36
0.1,0.01,00,2.0,F070W-F200W,5,1.0187500000000007,33
0.1,0.01,00,2.0,F070W-F200W,6,0.8350000000000026,40
0.1,0.01,00,2.5,H-R,1,0.37476111959249514,58
0.1,0.01,00,2.5,H-R,2,0.3606438545703523,36
0.1,0.01,00,2.5,H-R,3,0.3675891057331224,37
0.1,0.01,00,2.5,H-R,4,0.344714324067638,27
0.1,0.01,00,2.5,H-R,5,0.2682338423540181,25
0.1,0.01,00,2.5,H-R,6,0.3089163315409185,14
0.1,0.01,00,2.5,F070W-F200W,1,1.0335,19
0.1,0.01,00,2.5,F070W-F200W,2,0.8925999999999998,23
0.1,0.01,00,2.5,F070W-F200W,3,1.299428571428571,28
