density,epsilon_ff,seed,time_myr,space,spread_metric,n_valid_bins,n_stars_in_band,n_interpolated_stars
0.1,0.01,00,1.0,H-R,0.07913579933284826,6,92,271
0.1,0.01,00,1.0,F070W-F200W,0.21457499999999965,6,92,271
0.1,0.01,00,1.5,H-R,0.1972889513496888,6,131,386
0.1,0.01,00,1.5,F070W-F200W,0.616757936507938,6,135,386
0.1,0.01,00,2.0,H-R,0.2801795643398623,6,157,461
0.1,0.01,00,2.0,F070W-F200W,0.9396175925925929,6,163,461
0.1,0.01,00,2.5,H-R,0.33747642964309077,6,197,565
0.1,0.01,00,2.5,F070W-F200W,1.1607194083694077,6,207,565
0.1,0.01,00,3.0,H-R,0.40115955163895917,6,242,677
0.1,0.01,00,3.0,F070W-F200W,1.4010609788359798,6,259,677
0.1,0.01,00,3.5,H-R,0.427610451038809,6,268,732
0.1,0.01,00,3.5,F070W-F200W,1.4966169108669127,6,291,732
0.1,0.01,00,4.0,H-R,0.4442205572424873,6,298,807
0.1,0.01,00,4.0,F070W-F200W,1.514353505291005,6,335,807
0.1,0.01,00,4.5,H-R,0.446746587704848,6,327,860
0.1,0.01,00,4.5,F070W-F200W,1.486818055555556,6,373,860
0.1,0.01,00,5.0,H-R,0.46807017153740316,6,363,922
0.1,0.01,00,5.0,F070W-F200W,1.5613325705340413,6,415,922
0.1,0.01,00,5.5,H-R,0.45442644809405747,6,396,970
0.1,0.01,00,5.5,F070W-F200W,1.629057430033417,6,451,970
0.1,0.01,00,6.0,H-R,0.4700355031486388,6,429,1041
0.1,0.01,00,6.0,F070W-F200W,1.6728049175970225,6,484,1041
0.1,0.01,00,6.5,H-R,0.5022136507345648,6,469,1131
0.1,0.01,00,6.5,F070W-F200W,1.8043831000508517,6,529,1131
0.1,0.01,00,7.0,H-R,0.5336754987922775,6,518,1219
0.1,0.01,00,7.0,F070W-F200W,1.9215807940047063,6,569,1219
0.1,0.01,00,7.5,H-R,0.5541866092909641,6,552,1309
0.1,0.01,00,7.5,F070W-F200W,1.974798777461918,6,610,1309
0.1,0.01,00,8.0,H-R,0.5662155374671692,6,583,1415
0.1,0.01,00,8.0,F070W-F200W,2.0022172519409906,6,647,1415
0.1,0.01,00,8.5,H-R,0.5780947901374954,6,618,1523
0.1,0.01,00,8.5,F070W-F200W,2.0444276036866356,6,688,1523
0.1,0.01,00,9.0,H-R,0.569430047585109,6,654,1626
0.1,0.01,00,9.0,F070W-F200W,2.0221050430055802,6,730,1626
0.1,0.01,00,9.5,H-R,0.5928261927008468,6,704,1712
0.1,0.01,00,9.5,F070W-F200W,2.066005397531819,6,779,1712
0.1,0.01,00,10.0,H-R,0.6015467697738691,6,749,1768
0.1,0.01,00,10.0,F070W-F200W,2.0898272601451695,6,824,1768
0.1,0.01,00,10.5,H-R,0.5961869270078897,6,793,1842
0.1,0.01,00,10.5,F070W-F200W,2.063020936295348,6,871,1842
0.1,0.01,00,11.0,H-R,0.5878510680848996,6,825,1926
0.1,0.01,00,11.0,F070W-F200W,2.067855848266819,6,902,1926
0.1,0.01,00,11.5,H-R,0.5977373208180097,6,869,2009
0.1,0.01,00,11.5,F070W-F200W,2.0858786663033646,6,940,2009
0.1,0.01,00,12.0,H-R,0.5944607480690919,6,907,2079
0.1,0.01,00,12.0,F070W-F200W,2.088461092878926,6,984,2079
0.1,0.01,00,12.5,H-R,0.6208902865616607,6,957,2166
0.1,0.01,00,12.5,F070W-F200W,2.1463229867039706,6,1041,2166
0.1,0.01,00,13.0,H-R,0.6232429026027937,6,997,2244
0.1,0.01,00,13.0,F070W-F200W,2.179693733753664,6,1087,2244
0.1,0.01,00,13.5,H-R,0.603080054068369,6,1021,2300
0.1,0.01,00,13.5,F070W-F200W,2.1114297289485924,6,1100,2300
0.1,0.01,00,14.0,H-R,0.5986352809546082,6,1055,2382
0.1,0.01,00,14.0,F070W-F200W,2.091998347713901,6,1145,2382
0.1,0.01,00,14.5,H-R,0.5898827339736957,6,1093,2466
0.1,0.01,00,14.5,F070W-F200W,2.1100099555595904,6,1179,2466
0.1,0.01,00,15.0,H-R,0.6013445413173216,6,1132,2520
0.1,0.01,00,15.0,F070W-F200W,2.1254035595311787,6,1212,2520
0.1,0.01,00,15.5,H-R,0.6144254274717679,6,1174,2632
0.1,0.01,00,15.5,F070W-F200W,2.1730930930783514,6,1257,2632
0.1,0.01,00,16.0,H-R,0.6243693466791703,6,1215,2713
0.1,0.01,00,16.0,F070W-F200W,2.2048264556573614,6,1288,2713
0.1,0.01,00,16.5,H-R,0.6183323890161282,6,1248,2801
0.1,0.01,00,16.5,F070W-F200W,2.195519639327682,6,1321,2801
0.1,0.01,00,17.0,H-R,0.6281965250131174,6,1292,2910
0.1,0.01,00,17.0,F070W-F200W,2.2220265010878566,6,1364,2910
0.1,0.01,00,17.5,H-R,0.6298965301194224,6,1328,2970
0.1,0.01,00,17.5,F070W-F200W,2.2219220217414803,6,1402,2970
0.1,0.01,00,18.0,H-R,0.5930321412769953,6,1343,2974
0.1,0.01,00,18.0,F070W-F200W,2.1113274380633014,6,1410,2974
0.1,0.01,00,18.5,H-R,0.544192829908566,6,1358,2974
0.1,0.01,00,18.5,F070W-F200W,1.9404472687234662,6,1420,2974
0.1,0.01,00,19.0,H-R,0.5086274121325526,6,1366,2979
0.1,0.01,00,19.0,F070W-F200W,1.8085088921556018,6,1419,2979
0.1,0.01,00,19.5,H-R,0.48113441465826384,6,1379,2977
0.1,0.01,00,19.5,F070W-F200W,1.702468944624048,6,1430,2977
0.1,0.01,00,20.0,H-R,0.44703502748021023,6,1330,2868
0.1,0.01,00,20.0,F070W-F200W,1.5882325949960803,6,1388,2868
0.1,0.03,00,1.0,H-R,0.07894141115488984,6,170,534
0.1,0.03,00,1.0,F070W-F200W,0.21587606837606751,6,170,534
0.1,0.03,00,1.5,H-R,0.1679003911560504,6,234,747
0.1,0.03,00,1.5,F070W-F200W,0.5404366522366516,6,236,747
